S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,203509430,17213632:2002,16777343:65174,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,203509430,17213632:2002,16777343:65174,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,203509441,17213632:2002,16777343:65174,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,203509472,17213632:2002,16777343:65174,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,203509493,17213632:2002,16777343:65174,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,203509493,17213632:2002,16777343:65174,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,203509493,17213632:2002,16777343:65174,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 96 fe


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,203509524,17213632:2002,16777343:65174,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,203509524,17213632:2002,16777343:65174,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 dc 13 00 00 96 fe 00 00 00 00 00 00
		00 33 3b 45 00 44 30 13 08 44 30 13 08 80 f9 7a
		1e f0 f5 aa 01 ae 23 84 00 5c c4


Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,203509554,17213632:2002,16777343:65174,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,203509554,17213632:2002,16777343:65174,65535,-1,0,0,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,203509557,17213632:2002,16777343:65174,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,203509557,17213632:2002,16777343:65174,65535,0,0,-1,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,203509587,17213632:2002,16777343:65174,65535,-1,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,203509591,17213632:2002,16777343:65174,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,203509591,17213632:2002,16777343:65174,65535,0,0,3,
Rcv,Nrm,    8,    3,Unknown,64,203509591,17213632:2002,16777343:65174,65535,0,0,4,
data in bytes:
		53 04 00 01 00 00 00 00 6a 00 61 00 6c 00 6c 00
		65 00 72 00 32 00 30 00 30 00 00 00 04 ff ff ff
		ff e0 03 14 1a 10 95 c2 01 90 48 63 07 88 f5 aa
		01 90 48 63 07 9c 59 14 1a e0 03 14 1a 00 00 00
		00 f0 64 0a 0b b0 7e 21 00 f8 30 00 39 00 34 00
		65 00 37 00 30 00 31 00 61 00 63 00 33 00 62 00
		35 00 35 00 32 00 30 00 62 00 34 00 37 00 38 00
		39 00 35 00 62 00 33 00 31 00 38 00 35 00 37 00
		62 00 66 00 31 00 63 00 33 00 00 00 39 33 66 62
		33 33 62 36 34 35 33 63 61 64 35 65 32 62 65 35
		33 64 61 36 65 39 36 38 39 34 63 61 00


Snd,Nrm,4294967295,    8,Unknown,7792,203509622,17213632:2002,16777343:65174,65535,-1,0,1,
data in bytes:
		53 04 00 02 00 00 00 00


